ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
"CH0030380734"	"CHF"	159	191	11949	15011	7329067	7482889	7540000	0
"CH0363463438"	"CHF"	167	114	50843	43598	1317981	1347831	1351000	0
"CH0011029946"	"CHF"	120	217	912	1663	71488815	73121407	73800000	0
"DK0060227585"	"DKK"	0	0	0	0	0	0	0	0
"CH0023868554"	"CHF"	44	130	10809	35958	2154220	2599913	2175000	0
"CH0006372897"	"CHF"	169	173	897	930	211389074	214910215	214000000	0
"CH0273774791"	"CHF"	70	72	644	696	60799068	61534770	61200000	0
"CH0100837282"	"CHF"	157	120	4890	3696	15729746	16051331	15900000	0
"CH0010702154"	"CHF"	147	164	3192	3461	22819392	23689843	23400000	0
"FR0000125007"	"EUR"	0	0	0	0	0	0	0	0
"CH0371153492"	"CHF"	98	143	10084	12250	4944528	5001362	5015000	0
"CH0022427626"	"CHF"	70	64	280	253	180045000	182502766	181600000	0
"CH0190891181"	"CHF"	122	167	9020	16418	5232902	5317026	5300000	0
"CH0210483332"	"CHF"	698	576	57949	47779	10053214	10160145	10185000	0
"CH0011108872"	"CHF"	30	47	720	912	22818333	23322587	23050000	0
"CH0038459415"	"CHF"	0	0	0	0	0	0	0	0
"IT0004147952"	"CHF"	0	0	0	0	0	0	0	0
"CH0003671440"	"CHF"	216	136	8939	5268	9856431	11140990	10740000	0
"CH0042615283"	"CHF"	102	128	6259	10189	7353420	7457772	7485000	0
"CH0012032113"	"CHF"	251	207	5451	4484	32799383	37489478	37440000	0
"CH0027148649"	"CHF"	0	0	0	0	0	0	0	0
"CH0239229302"	"CHF"	112	148	5576	9897	9395900	9635603	9590000	0
"CH0014284498"	"CHF"	179	122	2345	1311	60241812	64130434	63950000	0
"CH0012142631"	"CHF"	245	253	44986	71358	1713296	1876383	1790000	0
"CH0010675863"	"CHF"	83	122	4175	5650	9571816	10019609	9725000	0
"CH0010754924"	"CHF"	91	127	553	694	86983001	88830403	89300000	0
"CH0012100191"	"CHF"	157	163	3513	3077	28834659	29099512	29040000	0
"CH0033361673"	"CHF"	156	149	8246	7626	9394193	9968937	9540000	0
"CH0198251305"	"GBX"	1429	1225	159522	165220	182261467	189407647	186050000	0
"CH0311864901"	"CHF"	263	144	5599	4563	21620607	22069165	22100000	0
"CH0002088976"	"CHF"	137	204	3776	6278	16971027	18185810	17240000	0
"CH0014786500"	"CHF"	177	216	10123	10399	8321686	9251721	8400000	0
"BE0003593044"	"EUR"	0	0	0	0	0	0	0	0
"DK0060448595"	"DKK"	0	0	0	0	0	0	0	0
"BE0974256852"	"EUR"	0	0	0	0	0	0	0	0
"CH0012335540"	"CHF"	202	132	17308	10929	6599245	6718877	6710000	0
"CH0314029270"	"CHF"	0	0	0	0	0	0	0	0
"CH0019396990"	"CHF"	167	135	5868	4454	13418807	13723848	13660000	0
"JE00BF5FX167"	"GBX"	166	132	353925	245848	32703168	33210450	32950000	0
"DE000CBK1001"	"EUR"	0	0	0	0	0	0	0	0
"GB00BD6K4575"	"GBX"	1127	1282	198653	235781	172712622	173960638	174350000	0
"PTFRV0AE0004"	"EUR"	0	0	0	0	0	0	0	0
"AT00000FACC2"	"EUR"	0	0	0	0	0	0	0	0
"AT0000969985"	"EUR"	0	0	0	0	0	0	0	0
"DE000SHL1006"	"EUR"	0	0	0	0	0	0	0	0
"GB00BF5H9P87"	"GBX"	120	108	52948	48824	55840307	56615397	56600000	0
"GI000A0F6407"	"GBX"	51	65	79267	97912	17408032	17673926	17720000	0
"FR0013258662"	"EUR"	0	0	0	0	0	0	0	0
"GB00BDHXPG30"	"GBX"	85	138	112922	177864	14836241	15288636	15050000	0
"DE0005439004"	"EUR"	23	23	437	1012	5500000	8500000	5500000	0
"NL0000888691"	"EUR"	0	0	0	0	0	0	0	0
"LU1673108939"	"EUR"	0	0	0	0	0	0	0	0
"GB00BF8J3Z99"	"GBX"	0	0	0	0	0	0	0	0
"GB0000485838"	"GBX"	121	95	33921	26088	69631039	70866842	70300000	0
"GB0002945029"	"GBX"	127	126	141136	154024	42758211	43997843	43100000	0
"FR0011476928"	"EUR"	0	0	0	0	0	0	0	0
"GB0003718474"	"GBX"	115	154	7071	9250	683355607	691766324	693000000	0
"GB00BF448H58"	"GBX"	281	191	1078601	661519	24931967	25358579	25150000	0
"GB0004228648"	"GBX"	48	65	9512	12569	158163477	160655469	159400000	0
"FR0000045072"	"EUR"	0	0	0	0	0	0	0	0
"CH0012138530"	"CHF"	741	811	442372	573053	542130	576370	553400	0
"GB0000197722"	"GBX"	188	143	101638	64990	66060436	67461043	67100000	0
"GB0001740025"	"GBX"	101	93	43155	49021	42246838	43202635	42850000	0
"FR0013153541"	"EUR"	0	0	0	0	0	0	0	0
"GB00BYM1K758"	"GBX"	72	61	113464	97552	13684665	13903677	13920000	0
"FR0010411983"	"EUR"	0	0	0	0	0	0	0	0
"GB0007918872"	"GBX"	93	146	58554	76785	50631072	51537601	51100000	0
"GG00BV54HY67"	"GBX"	80	108	329070	313440	9033070	9222708	9140000	0
"FR0004188670"	"EUR"	0	0	0	0	0	0	0	0
"NL0012015705"	"EUR"	0	0	0	0	0	0	0	0
"FR0005691656"	"EUR"	0	0	0	0	0	0	0	0
"KYG9361H1092"	"GBX"	200	172	94840	65910	64421668	67463714	67000000	0
"GG00BYXVT888"	"GBX"	74	44	44715	23965	43867298	50309634	48000000	0
"NL0009767532"	"EUR"	0	0	0	0	0	0	0	0
"IE00B44Z5B48"	"USD"	0	8	0	778	0	16162764	0	0
"LU1250154413"	"EUR"	0	0	0	0	0	0	0	0
"DE0007100000"	"EUR"	52	39	13135	20513	5300190	6739272	5400000	0
"BE0003851681"	"EUR"	0	0	0	0	0	0	0	0
"BE0003755692"	"EUR"	0	0	0	0	0	0	0	0
"FR0000120644"	"EUR"	0	0	0	0	0	0	0	0
"DK0010274414"	"DKK"	0	0	0	0	0	0	0	0
"ES0105022000"	"EUR"	0	0	0	0	0	0	0	0
"DE0005190037"	"EUR"	0	0	0	0	0	0	0	0
"SE0008091581"	"SEK"	0	0	0	0	0	0	0	0
"NL0010776944"	"EUR"	0	0	0	0	0	0	0	0
"IT0003097257"	"EUR"	0	0	0	0	0	0	0	0
"SE0011090018"	"SEK"	0	0	0	0	0	0	0	0
"ES0121975009"	"EUR"	0	46	0	230	0	3550000	0	0
"IT0004329733"	"EUR"	0	0	0	0	0	0	0	0
"IT0000784154"	"EUR"	101	0	874000	0	675000	0	675000	0
"GB00BDCPN049"	"EUR"	81	61	8550	8475	5034649	5101725	5075000	0
"DE000A0LAUP1"	"EUR"	0	0	0	0	0	0	0	0
"BE0003883031"	"EUR"	0	0	0	0	0	0	0	0
"NO0010345853"	"NOK"	0	0	0	0	0	0	0	0
"ES0105630315"	"EUR"	0	0	0	0	0	0	0	0
"DE0005140008"	"EUR"	69	122	735724	45831	723292	1047649	760000	0
"FR0010667147"	"EUR"	0	0	0	0	0	0	0	0
"DE0005810055"	"EUR"	46	0	851	0	13345675	0	14200000	0
"FR0000130692"	"EUR"	0	0	0	0	0	0	0	0
"DE0008232125"	"EUR"	46	23	1587	529	460000	725000	500000	0
"DE0005552004"	"EUR"	23	26	2806	48310	2960000	4738332	2960000	0
"IE00BWY4ZF18"	"GBX"	124	143	369633	416124	8608388	8744860	8680000	0
"DE0005557508"	"EUR"	69	46	6946	1288	1628264	1970964	1650000	0
"DE0005403901"	"EUR"	0	0	0	0	0	0	0	0
"DE0006305006"	"EUR"	0	0	0	0	0	0	0	0
"DK0060655629"	"DKK"	0	0	0	0	0	0	0	0
"DE000A2E4K43"	"EUR"	0	0	0	0	0	0	0	0
"DE000A1X3XX4"	"EUR"	23	0	11040	0	936000	0	936000	0
"GB00B3DGH821"	"GBX"	119	85	215105	221884	7832054	7970396	7900000	0
